UID,SUMMARY,LOCATION,DESCRIPTION,URL,CLASS,TRANSP,PRIORITY,DTSTART,DTEND,DTSTAMP,VALARM:TRIGGER,VALARM:ACTION,VALARM:DESCRIPTION
1,Ipswich Town vs Chelsea | Premier League,Portman Road,Ipswich Town vs Chelsea | Premier League | Kick-off time 19:45 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20241230T194500Z,20241230T214500Z,20250101T190000Z,-PT30M,DISPLAY,Ipswich Town vs Chelsea kicks off in 30 minutes
2,Crystal Palace vs Chelsea | Premier League,Selhurst Park,Crystal Palace vs Chelsea | Premier League | Kick-off time 15:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250104T150000Z,20250104T170000Z,20250101T190000Z,-PT30M,DISPLAY,Crystal Palace vs Chelsea kicks off in 30 minutes
3,Chelsea vs Bournemouth | Premier League,Stamford Bridge,Chelsea vs Bournemouth | Premier League | Kick-off time 19:30 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250114T193000Z,20250114T213000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Bournemouth kicks off in 30 minutes
4,Chelsea vs Wolverhampton Wanderers | Premier League,Stamford Bridge,Chelsea vs Wolverhampton Wanderers | Premier League | Kick-off time 20:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250120T200000Z,20250120T220000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Wolverhampton Wanderers kicks off in 30 minutes
5,Manchester City vs Chelsea | Premier League,Etihad Stadium,Manchester City vs Chelsea | Premier League | Kick-off time 17:30 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250125T173000Z,20250125T193000Z,20250101T190000Z,-PT30M,DISPLAY,Manchester City vs Chelsea kicks off in 30 minutes
6,Chelsea vs West Ham United | Premier League,Stamford Bridge,Chelsea vs West Ham United | Premier League | Kick-off time 20:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250203T200000Z,20250203T220000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs West Ham United kicks off in 30 minutes
7,Brighton & Hove Albion vs Chelsea | Premier League,American Express Stadium,Brighton & Hove Albion vs Chelsea | Premier League | Kick-off time 20:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250214T200000Z,20250214T220000Z,20250101T190000Z,-PT30M,DISPLAY,Brighton & Hove Albion vs Chelsea kicks off in 30 minutes
8,Aston Villa vs Chelsea | Premier League,Villa Park,Aston Villa vs Chelsea | Premier League | Kick-off time 15:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250222T150000Z,20250222T170000Z,20250101T190000Z,-PT30M,DISPLAY,Aston Villa vs Chelsea kicks off in 30 minutes
9,Chelsea vs Southampton | Premier League,Stamford Bridge,Chelsea vs Southampton | Premier League | Kick-off time 19:45 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250226T194500Z,20250226T214500Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Southampton kicks off in 30 minutes
10,Chelsea vs Leicester City | Premier League,Stamford Bridge,Chelsea vs Leicester City | Premier League | Kick-off time 15:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250308T150000Z,20250308T170000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Leicester City kicks off in 30 minutes
11,Chelsea vs Tottenham Hotspur | Premier League,Stamford Bridge,Chelsea vs Tottenham Hotspur | Premier League | Kick-off time 19:45 BST,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250402T184500Z,20250402T204500Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Tottenham Hotspur kicks off in 30 minutes
12,Chelsea vs Ipswich Town | Premier League,Stamford Bridge,Chelsea vs Ipswich Town | Premier League | Kick-off time 15:00 BST,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250412T140000Z,20250412T160000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Ipswich Town kicks off in 30 minutes
13,Chelsea vs Everton | Premier League,Stamford Bridge,Chelsea vs Everton | Premier League | Kick-off time 15:00 BST,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250426T140000Z,20250426T160000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Everton kicks off in 30 minutes
14,Newcastle United vs Chelsea | Premier League,St James' Park,Newcastle United vs Chelsea | Premier League | Kick-off time 15:00 GMT,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250510T150000Z,20250510T170000Z,20250101T190000Z,-PT30M,DISPLAY,Newcastle United vs Chelsea kicks off in 30 minutes
15,Chelsea vs Manchester United | Premier League,Stamford Bridge,Chelsea vs Manchester United | Premier League | Kick-off time 15:00 BST,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250518T140000Z,20250518T160000Z,20250101T190000Z,-PT30M,DISPLAY,Chelsea vs Manchester United kicks off in 30 minutes
16,Nottingham Forest vs Chelsea | Premier League,City Ground,Nottingham Forest vs Chelsea | Premier League | Kick-off time 16:00 BST,https://en.wikipedia.org/wiki/2024%E2%80%9325_Chelsea_F.C._season Premier League/Matches,PUBLIC,TRANSPARENT,1,20250525T150000Z,20250525T170000Z,20250101T190000Z,-PT30M,DISPLAY,Nottingham Forest vs Chelsea kicks off in 30 minutes